DATA;NOME FUNDO;TAXA ADM;PERFIL DE INVEST.;COTA;PATRIM.
14/05/2021;FIC FACIL RF SIMPLES;1,7;Conservador;3,417718;8.383,68
14/05/2021;FI E-SIMPLES RENDA FIXA LP;1,5;Unknown;1,381251;2.882,31
14/05/2021;FIC GERACAO JOVEM CRED PRIV RF LP;1;Arrojado;1,912584;6,897
14/05/2021;FIC CAPITAL IND PRECOS RF LP;1,5;Moderado;9,214118;133,538
14/05/2021;FIC EMPREENDER RF LP;1,5;Moderado;27,506061;41,365
14/05/2021;FIC IDEAL RF LP;1,5;Moderado;5,777574;854,805
14/05/2021;FIC SOBERANO RF LP;1,5;Conservador;12,310629;198,355
14/05/2021;FIC CLASSICO RF LP;1,4;Moderado;8,869993;55,8
14/05/2021;FIC BRASIL DISPONIBILIDADES RF;0,8;Conservador;1,891168;989,536
14/05/2021;FIC DESENVOLVER RF LP;1,3;Conservador;1,79333;6,482
14/05/2021;FI RS TTULOS PBLICOS RF LP;0,2;Moderado;4,530973;203,224
14/05/2021;FI BRASIL IMA-B 5+ TP RF LP;0,2;Moderado;2,688449;1.512,29
14/05/2021;FI BRASIL IRF-M 1+ TP RF LP;0,2;Moderado;2,471387;1.871,56
14/05/2021;FIC OAB RF CRED PRIV LP;0,4;Moderado;1,692909;474,019
14/05/2021;FIC BRASIL GESTAO ESTRATEGICA RF;0,4;Moderado;1,515528;15.858,54
14/05/2021;FIC ABSOLUTO PRE RF LP;1,1;Moderado;13,040904;608,513
14/05/2021;FIC EXECUTIVO RF LP;1,1;Moderado;19,171414;3.395,68
14/05/2021;FI BRASIL IMA-B TP RF LP;0,2;Moderado;3,619466;5.823,47
14/05/2021;FI BRASIL IMA-B 5 TP RF LP;0,2;Moderado;3,252812;14.141,37
14/05/2021;FI BRASIL IMA GERAL TP RF LP;0,2;Moderado;2,941762;1.106,72
14/05/2021;FIC FORTALECER RF LP;1;Moderado;3,428038;57,95
14/05/2021;FI BRASIL TTULOS PBLICOS RF LP;0,2;Moderado;4,077169;4.514,40
14/05/2021;FI BRASIL IRF-M 1 TP RF;0,2;Conservador;2,622497;9.052,50
14/05/2021;FI BRASIL IRF-M TP RF LP;0,2;Moderado;2,294667;1.738,53
14/05/2021;FI BRASIL IDKA IPCA 2A RF LP;0,2;Moderado;2,423916;11.624,82
14/05/2021;FIC RELACIONAMENTO IDEAL RF LP;1;Moderado;1,9237;39,398
14/05/2021;FI ALIANCA TP RF;0,2;Moderado;4,292628;587,712
14/05/2021;FIC INVESTIDOR RF LP;0,85;Moderado;10,966261;1.605,34
14/05/2021;FI SAUDE SUPLEMENTAR-ANS RF LP;0,35;Conservador;2,93705;958,285
14/05/2021;FIC EXPANDIR RF LP;0,9;Moderado;1,884614;30,841
14/05/2021;FIC E-FUNDO RF LP;0,7;Moderado;1,925291;63,426
14/05/2021;FIC RELACIONAMENTO PERSONAL RF LP;0,7;Moderado;1,994359;138,151
14/05/2021;FIC EXPERTISE RF CRED PRIV LP;0,5;Moderado;2,754023;985,777
14/05/2021;FIC FOCO IND PRECOS RF LP;1;Moderado;2,090818;1.079,17
14/05/2021;FIC SELECAO RF;1,1;Conservador;9,59241;15,263
14/05/2021;FI INSTITUCIONAL TTULOS PBLICOS  RF LP;0,1;Conservador;2,725753;8,362
14/05/2021;FIC SUPREMO RF LP;0,8;Moderado;3,557873;302,687
14/05/2021;FIC PERSONAL RF LP;0,6;Moderado;17,411381;4.556,50
14/05/2021;FIC PATRIMONIO IND PRECOS RF LP;0,3;Moderado;15,271604;476,826
14/05/2021;FI DIAMANTE RF CRED PRIV LP;0,12;Conservador;-;-
14/05/2021;CAIXA FI SAFIRA CORPORATIVO RF LP;0,1;Conservador;2,762807;4.138,38
14/05/2021;FI SAUDE SUPLEMENTAR-ANS II RF LP;0,07;Conservador;2,900167;481,718
14/05/2021;FIC ATLETA INVEST RF CRED PRIV LP;0,4;Moderado;1,897578;4,06
14/05/2021;FI CNI RF LP;0,15;Moderado;4,940369;2.130,03
14/05/2021;FI SEBRAE RF LP;0,1;Moderado;10,061788;1.576,73
14/05/2021;FIC BETA RF REF DI LP;1,5;Conservador;18,398106;177,771
14/05/2021;FI BRASIL RF REF DI LP;0,2;Moderado;3,764633;5.801,96
14/05/2021;FIC NOVO BRASIL RF REF IMA-B LP;0,2;Moderado;3,853652;2.762,67
14/05/2021;FIC GIRO IMEDIATO RF REF DI LP;1,5;Conservador;1,714217;8.492,62
14/05/2021;FIC PLENO RF REF DI LP;0,7;Conservador;2,061399;767,362
14/05/2021;FIC PREFERENCIAL RF REF DI LP;0,6;Conservador;5,513522;2.341,50
14/05/2021;FIC SIGMA RF REF DI LP;0,35;Conservador;2,548904;10.317,23
14/05/2021;FIC RUBI RF REF DI LP;0,3;Conservador;2,675744;8.303,80
14/05/2021;CAIXA FI TOPAZIO CORPORATIVO REF DI;0,1;Conservador;2,503054;5.522,38
14/05/2021;FIC PRATICO RF CURTO PRAZO;1,7;Conservador;5,994793;26.984,97
14/05/2021;FIC LIQUIDEZ POLIS RF CP;1,7;Conservador;4,43803;590,259
14/05/2021;FIC FUNDACOES RF CP;0,4;Conservador;12,045023;56,878
14/05/2021;FIC TURQUESA CORPORATIVO RF CP;0,1;Conservador;1.012,01;4.452,48
14/05/2021;FIC TRANSFERNCIA VOLUNTARIA RF CP;1,7;Conservador;1,577703;2.913,66
14/05/2021;FI MULTIMERCADO RV30 LP;1;Arrojado;8,012535;1.964,61
14/05/2021;FIC JUROS E MOEDAS MM PLUS LP;1;Arrojado;1,125057;77,995
14/05/2021;FI OURO MULTIMERCADO LP;0,8;Agressivo;1,536158;252,61
14/05/2021;FIC HEDGE MULTIMERCADO LONGO PRAZO;1;Arrojado;1.003,39;30,535
14/05/2021;FI CAIXA INDEXA BOLSA AMERICANA MM LP;0,8;Arrojado;1,496442;1.896,47
14/05/2021;FIC MULTIMERCADO MULTIGESTOR;1,5;Agressivo;1,859759;460,525
14/05/2021;FIC ESTRATEGIA LIVRE MULTIMERCADO LP;1,5;Arrojado;1.088,68;922,833
14/05/2021;FIC ESTRATEGICO MULTIMERCADO LP;1,2;Agressivo;3,473881;288,412
14/05/2021;FIC CAPITAL PROTEGIDO IBOVESPA CCLICO I MULT;1,6;Arrojado;2,461363;103,51
14/05/2021;CAIXA EXPERT GIANT ZARATHUSTRA MULT;2;Agressivo;-;-
14/05/2021;FIC FIM MULTIGESTOR GLOBAL EQUITIES IE;1;Arrojado;1.016,28;160,328
14/05/2021;CAIXA IMOB MULT FIC MM CRED PRIV;1;Agressivo;-;-
14/05/2021;FI BTG PACTUAL X10 MULT LP;2;Agressivo;4,175666;995,821
14/05/2021;FIC ALOCACAO MACRO MULTIMERCADO LP;0,5;Arrojado;3,551005;4.526,52
14/05/2021;FI JUROS E MOEDAS MULTIMERCADO LP;0,7;Arrojado;2,119498;1.149,47
14/05/2021;FIC INDEXA DOLAR CAMBIAL;0,8;Arrojado;3,26528;182,101
14/05/2021;FI ACOES VALE DO RIO DOCE;2;Arrojado;34,783553;1.283,10
14/05/2021;CAIXA FIA PETROBRAS PLUS;1,5;Arrojado;0,872423;79,086
14/05/2021;FIC ACOES IBOVESPA;2;Arrojado;6,607274;173,132
14/05/2021;FI ACOES INFRAESTRUTURA;2;Arrojado;1,950489;507,274
14/05/2021;CAIXA FIA INDEXA SETOR FINANCEIRO;0,8;Arrojado;-;-
14/05/2021;FI ACOES CONSTRUCAO CIVIL;2;Arrojado;1,611499;420,026
14/05/2021;FI ACOES IBOVESPA ATIVO;3;Agressivo;1,862941;98,079
14/05/2021;FI ACOES CONSUMO;1,6;Arrojado;2,069628;601,039
14/05/2021;FI ACOES PETROBRAS PRE-SAL;0,5;Arrojado;1,224363;69,291
14/05/2021;CAIXA FIC FIA ACOES MULTIGESTOR;1,5;Arrojado;1,260925;1.062,87
14/05/2021;FI ACOES INDEXA PIBB IBRX-50;0,8;Arrojado;4,177502;111,287
14/05/2021;FI ACOES IBRX ATIVO;1,5;Agressivo;3,716825;132,243
14/05/2021;FI ACOES PETROBRAS;1,5;Arrojado;8,069673;663,941
14/05/2021;FI ACOES DIVIDENDOS;1,5;Arrojado;4,080371;302,291
14/05/2021;FI ACOES ISE;0,8;Arrojado;1,694099;15,111
14/05/2021;FI ACOES BRASIL IBOVESPA;0,5;Arrojado;2,757707;844,086
14/05/2021;FI ACOES BRASIL IBX-50;0,7;Arrojado;1,586494;1.247,33
14/05/2021;FI ACOES SMALL CAPS ATIVO;1,5;Agressivo;2,037602;1.162,62
14/05/2021;FI ACOES BRASIL ETF IBOVESPA;0,5;Arrojado;2,531585;129,494
14/05/2021;FI ACOES BDR NVEL I;1,5;Arrojado;5,328684;884,986
14/05/2021;FIA ACOES INSTITUCIONAL BDR NIVEL I;0,7;Arrojado;5,730652;2.931,96
14/05/2021;FIC ACOES VALOR SMALL CAP RPPS;1,72;Arrojado;1,955068;798,886
14/05/2021;CAIXA EXPERT CLARITAS VALOR FIC ACOES;0;Agressivo;1.183,81;41,449
14/05/2021;FIC ACOES VALOR DIVIDENDOS RPPS;1,72;Arrojado;2,244914;1.000,12
14/05/2021;CAIXA FIC EXPERT VERDE AM LONG BIAS ACOES;2;Agressivo;1.140,90;64,496
14/05/2021;ETF IBOVESPA FUNDO DE NDICE;0,5;Arrojado;119,294653;125,26
14/05/2021;FMP-FGTS PETROBRAS II;1,4;Arrojado;7,906568;257,242
14/05/2021;FMP-FGTS PETROBRAS III;1,2;Arrojado;8,308409;473,435
14/05/2021;FMP-FGTS PETROBRAS IV;0,95;Arrojado;8,742357;397,048
14/05/2021;FMP FGTS VALE I;1,9;Arrojado;33,205086;685,402
14/05/2021;FMP FGTS VALE II;1,4;Arrojado;37,469711;1.259,58
14/05/2021;FMP-FGTS CL PETROBRAS RF49;2,2;Arrojado;5,482524;0,766
